"My Requisition Lists","My Requisition Lists"
"Page not found.","Page not found."
"Something wen't wrong while adding product to Requisition List.","Something wen't wrong while adding product to Requisition List."
"The cart item doesn't exist.","The cart item doesn't exist."
"Something wen't wrong while adding products to Requisition List.","Something wen't wrong while adding products to Requisition List."
"%1 of %2 item(s) successfully added to the cart.","%1 of %2 item(s) successfully added to the cart."
"Requisition list item ID is required","Requisition list item ID is required"
"Something went wrong while copy items to Requisition List.","Something went wrong while copy items to Requisition List."
"Something went wrong while copy to Requisition List.","Something went wrong while copy to Requisition List."
"Something went wrong while added to Requisition List.","Something went wrong while added to Requisition List."
"Requisition List has been deleted.","Requisition List has been deleted."
"We can't delete Requisition List right now.","We can't delete Requisition List right now."
"Something went wrong while delete Requisition List.","Something went wrong while delete Requisition List."
"%1 item(s) have been successfully removed from ""%2"".","%1 item(s) have been successfully removed from ""%2""."
"We can't delete Item right now.","We can't delete Item right now."
"Something went wrong while delete Item.","Something went wrong while delete Item."
"File is not uploaded","File is not uploaded"
"Import successfully completed! %1 products have been imported.","Import successfully completed! %1 products have been imported."
"Requisition Lists","Requisition Lists"
"Something went wrong while move items to Requisition List.","Something went wrong while move items to Requisition List."
"Something went wrong while moved to Requisition List.","Something went wrong while moved to Requisition List."
"Requisition List was successfully saved.","Requisition List was successfully saved."
"Something went wrong while save the Requisition List.","Something went wrong while save the Requisition List."
"%1 item(s) have been updated in ""%2"" list.","%1 item(s) have been updated in ""%2"" list."
"The requested qty is not available for these products: %1.","The requested qty is not available for these products: %1."
"Product list item ID is required","Product list item ID is required"
"Configure %1","Configure %1"
"We can't update Requisition List right now.","We can't update Requisition List right now."
"Sorry, it’s impossible to add following products to the Requisition List: %1.","Sorry, it’s impossible to add following products to the Requisition List: %1."
"Create New Requisition List","Create New Requisition List"
"Something went wrong while render Requisition List.","Something went wrong while render Requisition List."
"Add Shopping Cart to Requisition List","Add Shopping Cart to Requisition List"
"%1 item(s) have been successfully added to ""<a href=""%2"">%3</a>"" list.","%1 item(s) have been successfully added to ""<a href=""%2"">%3</a>"" list."
"%1 was succesfully added to ""<a href=""%2"">%3</a>"" list.","%1 was succesfully added to ""<a href=""%2"">%3</a>"" list."
"%1 item(s) have been successfully moved to ""<a href=""%2"">%3</a>"" list.","%1 item(s) have been successfully moved to ""<a href=""%2"">%3</a>"" list."
Reorder,Reorder
"Print Order","Print Order"
"* Required Fields","* Required Fields"
"Customize %1","Customize %1"
"Rows: "%1" are invalid", "Rows: "%1" are invalid"
"No options of this product are available.","No options of this product are available."
"Delete Requisition List","Delete Requisition List"
Edit,Edit
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
"Not available","Not available"
"Out of stock","Out of stock"
"You don't have any items in list.","You don't have any items in list."
item(s),item(s)
selected,selected
"Previous Page","Previous Page"
"Next Page","Next Page"
Confirm,Confirm
"Are you sure that you want to delete this Requisition List with all items?","Are you sure that you want to delete this Requisition List with all items?"
"Aheadworks Extensions","Aheadworks Extensions"
General,General
"Enable Requisition Lists","Enable Requisition Lists"
"Add to Requisition Lists from Order page","Add to Requisition Lists from Order page"
"Add to Requisition Lists from Catalog Pages","Add to Requisition Lists from Catalog Pages"
"Add to Requisition Lists from Cart page","Add to Requisition Lists from Cart page"
"Edit Requisition List","Edit Requisition List"
" "," "
"New Requisition List Name","New Requisition List Name"
"My List","My List"
"New Description","New Description"
Save,Save
"Add to Requisition List","Add to Requisition List"
Product,Product
Sku,Sku
Qty,Qty
"Current Product Price","Current Product Price"
CSV,CSV
"Excel XML","Excel XML"
"Import From Csv File","Import From Csv File"
"Remove Selected","Remove Selected"
"Move Selected","Move Selected"
"Copy Selected","Copy Selected"
"Add To Cart","Add To Cart"
"Update Qty","Update Qty"
Name,Name
Description,Description
"Qty of Items","Qty of Items"
"Last Update","Last Update"
"New Requisition List","New Requisition List"
"List Name","List Name"
Create,Create
